school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,17,U,GT3,T,4,1,teacher,other,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,2,3,2,1,3,3,5,12,12,13
GP,M,15,U,GT3,T,1,3,services,teacher,course,mother,1,3,0,no,no,no,no,no,yes,yes,yes,4,3,5,2,1,3,3,14,14,15
GP,M,18,U,LE3,T,2,2,other,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,4,6,10,11,11
GP,M,17,U,GT3,T,4,3,other,services,course,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,5,1,1,3,1,6,12,12,12
GP,F,16,U,GT3,T,1,2,at_home,services,home,mother,3,3,0,no,no,no,no,no,yes,yes,no,4,3,4,1,1,3,5,12,13,12
GP,M,15,U,LE3,T,4,4,health,services,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,no,3,5,3,1,2,5,3,14,14,15
GP,F,18,R,GT3,T,4,2,other,other,home,father,1,2,2,no,yes,yes,yes,no,yes,no,no,4,3,2,1,1,4,3,6,6,6
GP,M,16,U,GT3,T,1,3,services,services,reputation,father,1,2,0,no,yes,no,no,yes,yes,no,no,5,4,4,1,1,2,10,10,12,11
GP,M,17,U,LE3,T,4,1,teacher,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,3,3,1,1,3,13,11,12,12
GP,F,15,U,GT3,T,3,4,services,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,1,3,4,12,12,11
GP,F,19,U,LE3,T,4,4,services,other,course,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,2,2,5,3,5,5,5,12,13,13
GP,F,15,U,LE3,T,4,3,services,other,home,mother,1,4,0,no,no,yes,yes,no,yes,yes,no,4,5,2,1,5,5,6,14,16,16
GP,M,15,U,GT3,A,4,2,other,services,home,father,1,2,1,yes,no,yes,no,yes,yes,yes,no,3,5,2,2,3,4,6,13,14,14
GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,3,5,7,13,14,14
GP,M,18,R,GT3,T,2,4,other,services,home,father,1,2,0,no,no,yes,no,no,yes,no,no,4,3,4,1,3,1,3,13,13,13
GP,M,16,R,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,4,1,4,5,6,12,13,13
GP,M,16,U,GT3,T,4,2,other,other,reputation,mother,2,1,0,yes,no,yes,yes,yes,yes,yes,yes,4,3,5,3,2,3,3,8,9,9
GP,F,18,U,GT3,T,3,2,other,services,home,mother,1,1,1,no,yes,yes,yes,no,yes,no,yes,4,4,2,1,1,3,5,11,11,11
GP,M,18,U,LE3,T,3,2,health,other,reputation,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,3,3,2,4,11,11,11
GP,F,16,U,LE3,A,3,4,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,5,3,3,1,5,1,4,11,12,12
GP,M,17,U,LE3,A,4,3,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,2,1,5,10,11,12,12
GP,M,18,R,GT3,T,4,3,services,other,home,father,1,1,0,no,yes,no,yes,no,yes,no,no,5,5,1,2,2,3,10,11,11,11
GP,M,18,U,GT3,T,2,3,teacher,other,home,mother,2,1,0,no,no,yes,yes,no,yes,yes,yes,4,2,4,4,1,3,5,13,14,14
GP,M,18,R,GT3,T,2,2,at_home,other,reputation,mother,1,4,1,no,yes,no,no,yes,yes,yes,yes,3,4,2,1,2,2,11,13,14,14
GP,F,17,U,GT3,T,3,2,teacher,other,course,mother,3,1,1,no,yes,no,yes,yes,yes,yes,no,3,2,3,4,3,5,10,12,12,11
GP,F,15,R,LE3,T,3,1,health,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,5,7,13,14,14
GP,F,18,U,GT3,A,3,4,teacher,health,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,4,1,1,2,5,5,6,10,10,11
GP,F,18,U,GT3,T,1,2,other,other,course,mother,1,1,0,yes,no,yes,yes,no,yes,yes,no,5,3,5,1,3,5,5,7,7,7
GP,F,18,U,LE3,T,2,2,services,other,course,mother,1,4,0,no,yes,no,yes,yes,no,yes,no,4,4,4,1,1,5,8,9,10,10
GP,F,15,R,GT3,T,3,2,services,at_home,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,4,4,12,14,15,15
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,2,0,yes,no,no,no,yes,yes,yes,yes,4,4,4,2,3,2,5,11,11,11
GP,F,18,R,GT3,T,3,3,other,teacher,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,2,3,4,12,12,12
GP,F,15,U,GT3,A,4,2,at_home,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,1,2,3,13,11,12,12
GP,M,20,R,LE3,T,3,1,other,services,course,mother,2,1,0,no,yes,yes,no,no,yes,no,no,3,2,2,1,4,5,4,11,12,12
GP,M,16,U,GT3,T,4,4,services,other,reputation,mother,2,2,0,no,yes,no,yes,yes,no,yes,no,3,4,3,2,2,1,5,12,13,13
GP,F,17,U,LE3,T,3,2,teacher,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,1,2,2,11,12,12
GP,F,18,R,LE3,A,3,2,at_home,services,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,3,3,3,1,1,5,5,11,12,12
GP,F,16,U,LE3,T,3,2,services,teacher,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,3,1,1,2,2,14,14,15
GP,M,16,U,GT3,T,1,4,other,other,course,father,1,1,1,yes,yes,no,no,no,yes,yes,no,2,4,2,1,3,1,8,9,10,11
GP,F,17,U,GT3,T,2,2,other,services,reputation,mother,2,1,0,no,no,yes,no,no,yes,yes,no,3,2,5,1,1,1,1,9,9,10
GP,F,17,U,LE3,T,3,4,services,teacher,course,mother,2,2,0,yes,yes,no,no,yes,yes,yes,yes,5,4,1,2,3,5,9,11,11,12
GP,F,16,U,GT3,A,4,4,other,other,reputation,mother,1,2,0,yes,yes,no,yes,no,yes,yes,no,5,2,1,2,2,2,2,14,15,15
GP,F,17,U,GT3,T,4,3,at_home,services,course,father,1,1,0,no,no,no,yes,yes,yes,no,yes,4,4,3,1,4,2,5,12,13,13
GP,F,19,U,LE3,A,1,2,services,services,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,3,5,9,8,0
GP,M,16,R,GT3,T,3,3,services,services,other,mother,2,1,0,no,no,yes,no,yes,yes,yes,yes,5,4,2,1,5,5,11,9,9,10
GP,M,15,U,LE3,T,2,2,teacher,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,2,2,3,1,4,2,9,10,10,10
GP,M,16,U,LE3,T,4,2,other,services,home,mother,2,3,0,no,yes,yes,yes,no,yes,yes,yes,4,3,4,1,1,1,11,12,12,12
GP,M,16,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,yes,no,no,yes,yes,no,3,2,2,2,3,5,11,13,14,14
GP,M,15,U,GT3,T,3,2,services,services,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,5,8,11,10,10
GP,F,15,U,LE3,T,3,1,at_home,services,reputation,father,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,2,3,1,4,2,9,13,12,12
MS,M,17,R,GT3,T,2,2,teacher,services,course,mother,1,2,0,no,no,no,no,no,no,yes,no,5,2,3,5,3,3,8,12,12,12
MS,M,16,R,LE3,T,3,1,teacher,health,other,mother,2,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,1,1,2,8,12,14,13
GP,F,19,U,LE3,A,4,2,other,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,2,4,1,1,5,5,10,9,10
GP,M,16,U,LE3,T,4,3,teacher,at_home,reputation,mother,1,1,0,yes,no,yes,no,yes,yes,yes,no,4,3,4,1,2,3,8,12,12,12
MS,F,15,U,GT3,T,3,4,services,other,reputation,mother,1,2,0,no,no,yes,no,yes,yes,no,no,5,4,2,1,4,5,6,12,12,12
GP,F,18,U,GT3,T,2,1,services,teacher,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,4,5,7,11,11,12
GP,M,18,U,GT3,T,1,3,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,2,1,4,6,11,13,13
GP,M,16,U,GT3,T,1,2,health,other,reputation,other,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,1,1,1,1,2,13,14,14
GP,M,16,U,GT3,T,2,1,other,other,other,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,2,5,8,11,12,12
GP,F,15,U,GT3,T,2,2,other,other,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,yes,4,4,3,1,2,5,6,15,16,16
MS,F,17,U,GT3,T,4,1,health,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,2,3,1,1,5,4,11,11,12
GP,M,16,U,LE3,T,3,2,other,at_home,other,mother,1,2,0,no,yes,no,yes,no,no,yes,yes,3,4,5,1,1,1,8,11,11,11
GP,F,16,U,LE3,T,2,2,at_home,services,course,mother,2,2,1,no,yes,yes,yes,yes,yes,yes,yes,4,2,4,1,4,5,5,12,13,13
GP,M,15,U,GT3,T,1,2,other,services,home,mother,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,5,4,1,2,5,4,12,13,14
GP,F,17,U,LE3,T,2,3,other,services,course,mother,1,1,0,no,no,no,yes,yes,yes,no,yes,4,4,3,2,3,5,6,12,13,13
GP,F,19,U,GT3,T,4,0,other,other,home,father,1,3,0,no,yes,no,no,no,yes,yes,no,4,3,3,2,2,4,5,15,16,15
GP,F,17,U,GT3,T,2,1,other,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,1,2,4,6,10,10,10
GP,M,17,U,GT3,T,4,1,services,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,yes,5,2,3,1,3,3,5,13,14,14
GP,F,15,U,LE3,T,4,3,at_home,services,course,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,7,15,15,14
GP,F,16,U,LE3,T,1,2,services,services,course,other,1,3,0,no,no,no,yes,yes,yes,yes,no,4,4,2,1,1,5,4,12,13,13
GP,F,16,R,LE3,A,3,3,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,2,3,3,1,5,4,6,15,15,15
GP,F,18,R,LE3,T,4,2,other,other,reputation,mother,1,3,1,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,4,2,5,14,15,16
GP,F,18,U,LE3,T,2,1,teacher,services,course,mother,2,2,0,no,no,yes,yes,no,yes,no,no,4,2,2,3,3,1,6,7,8,8
GP,M,18,U,GT3,T,1,4,services,other,reputation,mother,1,2,0,yes,no,no,yes,no,yes,no,no,4,4,2,1,1,4,4,12,12,12
GP,F,20,U,GT3,T,4,1,teacher,services,home,other,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,5,9,11,12,12
GP,M,20,R,GT3,T,4,1,health,teacher,home,mother,2,1,0,no,yes,no,no,no,yes,yes,no,5,2,3,1,1,1,1,15,15,16
GP,M,19,U,LE3,T,3,1,at_home,other,reputation,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,5,4,1,5,3,7,13,14,15
GP,F,15,R,GT3,T,3,4,at_home,services,course,mother,1,2,1,no,no,no,yes,yes,yes,no,no,4,3,4,1,4,5,8,8,8,0
GP,F,15,U,GT3,T,2,3,services,at_home,course,mother,1,1,1,no,yes,no,no,no,yes,yes,no,3,3,2,1,2,4,4,11,12,12
GP,M,16,U,LE3,A,4,3,teacher,other,home,mother,1,3,0,no,no,yes,yes,yes,no,no,no,3,5,1,3,5,2,4,14,16,16
GP,F,17,U,GT3,T,3,4,services,services,reputation,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,1,3,2,2,1,3,8,11,12,12
GP,F,15,U,LE3,T,1,1,services,health,reputation,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,5,5,2,3,2,3,11,10,10,11
MS,M,18,U,GT3,T,4,4,other,services,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,3,1,1,1,1,13,13,14
GP,M,17,U,LE3,A,4,1,at_home,other,course,mother,2,3,0,no,yes,yes,no,no,yes,yes,no,5,4,5,1,1,5,5,13,14,14
GP,M,17,U,LE3,T,4,3,at_home,other,reputation,father,1,3,0,no,yes,yes,no,yes,yes,no,no,5,3,2,1,5,4,8,14,15,15
GP,F,15,R,GT3,T,2,2,services,services,reputation,other,1,2,0,no,no,no,yes,yes,yes,yes,no,3,2,2,1,4,5,6,11,11,11
GP,M,16,U,LE3,T,1,2,other,teacher,other,mother,1,4,0,no,no,no,no,yes,yes,yes,no,5,3,4,1,1,4,4,10,12,12
MS,M,15,U,GT3,T,4,4,other,other,reputation,mother,1,3,0,no,yes,yes,no,no,yes,yes,no,4,1,3,2,1,1,5,11,12,12
GP,F,18,U,GT3,T,4,1,at_home,health,course,father,2,3,1,no,no,no,yes,yes,yes,no,no,4,2,1,1,3,2,10,12,12,12
GP,M,17,R,GT3,T,3,4,services,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,1,2,5,11,11,12
GP,F,18,U,LE3,T,3,2,teacher,other,home,father,1,2,1,no,no,yes,no,yes,yes,yes,no,2,4,5,1,2,1,6,9,9,9
GP,F,16,R,GT3,A,3,3,other,at_home,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,2,2,1,2,5,6,11,11,11
GP,F,16,U,GT3,T,2,4,services,services,course,father,1,2,1,no,no,yes,no,yes,yes,yes,no,5,4,3,1,1,2,4,8,9,0
MS,F,16,U,LE3,T,1,1,services,teacher,course,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,5,4,1,1,5,4,13,14,14
GP,F,18,U,GT3,T,1,4,other,teacher,home,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,4,2,1,1,2,6,13,13,13
GP,M,18,U,GT3,T,2,3,other,at_home,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,5,1,7,10,11,12
GP,M,16,U,GT3,T,4,3,teacher,other,reputation,mother,2,4,1,no,no,yes,yes,no,yes,yes,yes,2,4,2,4,2,2,5,9,11,12
GP,M,19,U,GT3,T,1,1,teacher,services,course,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,1,2,4,9,10,11,11
GP,M,15,U,LE3,T,2,3,teacher,other,course,other,2,4,0,yes,no,yes,no,yes,no,yes,no,4,3,2,1,1,5,5,14,15,15
GP,M,18,R,GT3,T,3,3,at_home,other,course,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,5,5,1,3,5,4,11,12,11
GP,F,15,R,GT3,T,2,2,teacher,teacher,course,mother,4,1,0,no,no,no,yes,yes,yes,no,no,3,4,2,2,1,2,2,13,14,14
GP,F,16,R,LE3,T,2,1,other,services,reputation,mother,1,1,1,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,4,3,10,10,10
MS,F,18,U,GT3,T,3,2,other,services,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,5,1,3,5,11,11,12,13
GP,F,15,U,LE3,T,2,4,at_home,other,course,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,3,2,1,3,3,8,9,9,8
GP,M,16,R,GT3,T,3,1,at_home,at_home,reputation,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,5,1,1,1,7,11,11,11
GP,F,16,U,LE3,T,4,3,services,other,course,father,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,4,1,1,2,7,13,13,13
GP,F,16,U,LE3,T,1,4,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,1,3,1,5,1,3,10,11,11
GP,F,17,R,LE3,T,4,0,other,other,course,mother,1,2,0,yes,no,no,yes,no,yes,yes,no,4,3,4,1,1,5,7,11,12,12
GP,F,18,U,GT3,A,4,1,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,2,4,4,2,1,3,7,14,14,15
GP,M,18,U,GT3,A,4,3,teacher,other,course,mother,2,2,0,yes,yes,yes,no,no,yes,no,no,4,4,2,1,2,4,7,16,17,17
GP,F,16,R,LE3,T,3,1,services,other,reputation,mother,2,3,1,yes,yes,yes,yes,yes,yes,yes,no,4,3,5,1,1,5,3,11,11,12
GP,F,17,U,GT3,T,3,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,5,1,3,3,4,11,12,12
MS,F,16,U,GT3,T,3,3,services,other,course,mother,1,4,0,no,yes,yes,no,yes,yes,no,yes,4,2,5,1,3,5,5,11,11,11
GP,F,16,U,GT3,T,4,3,other,other,course,mother,1,1,0,no,no,yes,yes,yes,yes,no,yes,4,5,3,1,2,1,9,13,13,14
GP,M,15,U,LE3,T,1,2,other,other,reputation,father,2,2,1,no,no,no,yes,yes,yes,yes,no,4,2,3,1,3,4,4,10,11,11
GP,F,19,U,LE3,T,4,3,at_home,other,course,mother,2,1,0,no,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,12,12,12
GP,F,18,R,GT3,T,3,3,other,other,home,mother,1,2,0,yes,no,yes,no,no,yes,no,yes,4,3,1,5,3,3,7,15,15,15
GP,F,18,R,LE3,T,4,1,services,other,course,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,3,7,14,14,15
GP,M,17,U,GT3,T,2,3,other,other,course,father,1,2,1,no,no,yes,no,no,yes,yes,no,4,3,3,3,1,5,5,9,9,0
GP,M,17,U,GT3,T,1,4,at_home,at_home,reputation,mother,2,2,1,no,yes,no,no,yes,yes,no,yes,5,2,4,3,3,5,11,12,12,12
MS,M,17,R,GT3,T,3,3,health,other,reputation,mother,1,1,0,no,no,no,no,yes,no,yes,yes,5,3,3,1,1,5,5,10,12,12
GP,M,17,U,GT3,A,3,2,other,other,other,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,3,4,3,1,1,1,2,9,8,0
GP,M,16,U,GT3,T,3,2,services,other,course,mother,1,4,0,yes,no,yes,yes,yes,yes,yes,no,4,4,3,1,1,5,10,13,15,14
GP,F,15,U,LE3,A,2,1,teacher,services,course,mother,1,2,0,no,no,yes,yes,no,yes,yes,no,5,2,3,5,3,1,7,11,10,11
MS,F,15,U,LE3,T,2,2,services,other,reputation,father,3,1,0,no,yes,no,yes,no,yes,yes,no,4,4,5,1,1,5,7,11,13,12
GP,M,19,U,GT3,T,3,1,services,other,other,mother,1,2,0,no,no,no,no,no,no,yes,yes,4,4,4,1,3,5,7,12,12,12
GP,F,17,U,GT3,T,2,4,services,other,home,mother,2,2,0,no,yes,no,no,no,yes,yes,no,5,4,1,1,3,4,3,9,11,11
GP,M,19,U,GT3,T,4,2,at_home,other,reputation,mother,2,1,1,no,yes,yes,no,yes,yes,yes,yes,3,3,1,2,3,3,8,11,11,11
MS,F,15,U,LE3,T,2,4,other,other,reputation,father,2,2,1,no,yes,yes,yes,yes,yes,yes,no,4,1,4,1,1,5,5,11,12,12
MS,M,17,U,LE3,T,2,1,services,other,course,father,3,2,0,no,yes,yes,no,no,no,yes,no,5,5,3,1,4,5,8,12,13,13
GP,M,16,U,LE3,T,2,2,at_home,services,course,father,1,2,0,no,yes,yes,yes,yes,no,yes,no,3,3,4,1,1,2,9,14,14,14
MS,F,16,U,GT3,T,3,2,services,other,course,mother,1,2,0,no,no,yes,yes,no,yes,yes,no,4,3,2,1,4,5,8,14,15,16
